,Comparison,Taxa,Method,Group,LDA,P.unadj,P.adj,Significance
k__Archaea,PFU - Water,k__Archaea,LEfSe,PFU,3.214042679,5.77E-08,1.19E-06,***
k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Methylophilaceae,PFU - Water,k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Methylophilaceae,LEfSe,Water,3.200099532,5.77E-11,6.36E-09,***
k__Eukaryota|p__Fungi|p__Eukaryota_Fungi|c__Ascomycota|o__Pezizomycotina|f__Leotiomycetes,PFU - Water,k__Eukaryota|p__Fungi|p__Eukaryota_Fungi|c__Ascomycota|o__Pezizomycotina|f__Leotiomycetes,LEfSe,PFU,3.19572163,7.48E-06,7.08E-05,***
k__Eukaryota|p__Metazoa|p__Eukaryota_Metazoa|c__Gastrotricha|o__Gastrotricha_X|f__Gastrotricha_XX|g__Lepidodermella,PFU - Water,k__Eukaryota|p__Metazoa|p__Eukaryota_Metazoa|c__Gastrotricha|o__Gastrotricha_X|f__Gastrotricha_XX|g__Lepidodermella,LEfSe,PFU,3.189081076,4.65E-09,1.72E-07,***
k__Eukaryota|p__Metazoa|p__Eukaryota_Metazoa|c__Gastrotricha|o__Gastrotricha_X|f__Gastrotricha_XX|g__Lepidodermella|s__Lepidodermella_squamata,PFU - Water,k__Eukaryota|p__Metazoa|p__Eukaryota_Metazoa|c__Gastrotricha|o__Gastrotricha_X|f__Gastrotricha_XX|g__Lepidodermella|s__Lepidodermella_squamata,LEfSe,PFU,3.189081076,4.65E-09,1.72E-07,***
k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__Methylococcales,PFU - Water,k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__Methylococcales,LEfSe,PFU,3.171963529,7.48E-06,7.08E-05,***
k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales,PFU - Water,k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales,LEfSe,PFU,3.16816411,4.40E-10,2.90E-08,***
k__Bacteria|p__Patescibacteria|p__Bacteria_Patescibacteria|c__Parcubacteria|o__Candidatus Kaiserbacteria,PFU - Water,k__Bacteria|p__Patescibacteria|p__Bacteria_Patescibacteria|c__Parcubacteria|o__Candidatus Kaiserbacteria,LEfSe,PFU,3.157109448,2.89E-07,4.44E-06,***
k__Bacteria|p__Actinobacteriota|p__Bacteria_Actinobacteriota|c__Thermoleophilia|o__Solirubrobacterales,PFU - Water,k__Bacteria|p__Actinobacteriota|p__Bacteria_Actinobacteriota|c__Thermoleophilia|o__Solirubrobacterales,LEfSe,Water,3.153688528,2.29E-08,5.67E-07,***
k__Bacteria|p__Acidobacteriota|p__Bacteria_Acidobacteriota|c__Vicinamibacteria,PFU - Water,k__Bacteria|p__Acidobacteriota|p__Bacteria_Acidobacteriota|c__Vicinamibacteria,LEfSe,PFU,3.138192899,1.66E-07,2.84E-06,***
k__Bacteria|p__Verrucomicrobiota|p__Bacteria_Verrucomicrobiota|c__Verrucomicrobiae|o__Methylacidiphilales,PFU - Water,k__Bacteria|p__Verrucomicrobiota|p__Bacteria_Verrucomicrobiota|c__Verrucomicrobiae|o__Methylacidiphilales,LEfSe,Water,3.133382769,5.66E-06,5.61E-05,***
k__Bacteria|p__Verrucomicrobiota|p__Bacteria_Verrucomicrobiota|c__Verrucomicrobiae|o__Methylacidiphilales|f__Methylacidiphilaceae,PFU - Water,k__Bacteria|p__Verrucomicrobiota|p__Bacteria_Verrucomicrobiota|c__Verrucomicrobiae|o__Methylacidiphilales|f__Methylacidiphilaceae,LEfSe,Water,3.133382769,5.66E-06,5.61E-05,***
k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__MWH-UniP1 aquatic group,PFU - Water,k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__MWH-UniP1 aquatic group,LEfSe,Water,3.121713708,2.87E-11,6.03E-09,***
