,Comparison,Taxa,Method,Group,LDA,P.unadj,P.adj,Significance
k__Bacteria|p__Planctomycetota|p__Bacteria_Planctomycetota|c__Phycisphaerae|o__Phycisphaerales|f__Phycisphaeraceae|g__CL500-3,PFU - Water,k__Bacteria|p__Planctomycetota|p__Bacteria_Planctomycetota|c__Phycisphaerae|o__Phycisphaerales|f__Phycisphaeraceae|g__CL500-3,LEfSe,Water,3.507239456,8.93E-05,0.00058067,***
k__Bacteria|p__Planctomycetota|p__Bacteria_Planctomycetota|c__Phycisphaerae|o__Phycisphaerales|f__Phycisphaeraceae,PFU - Water,k__Bacteria|p__Planctomycetota|p__Bacteria_Planctomycetota|c__Phycisphaerae|o__Phycisphaerales|f__Phycisphaeraceae,LEfSe,Water,3.494007431,0.000410131,0.002155764,**
k__Bacteria|p__Planctomycetota|p__Bacteria_Planctomycetota|c__Phycisphaerae|o__Phycisphaerales,PFU - Water,k__Bacteria|p__Planctomycetota|p__Bacteria_Planctomycetota|c__Phycisphaerae|o__Phycisphaerales,LEfSe,Water,3.492969242,0.000410131,0.002155764,**
k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae,PFU - Water,k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae,LEfSe,Water,3.486546969,2.87E-11,6.03E-09,***
k__Bacteria|p__Verrucomicrobiota|p__Bacteria_Verrucomicrobiota|c__Verrucomicrobiae|o__Pedosphaerales,PFU - Water,k__Bacteria|p__Verrucomicrobiota|p__Bacteria_Verrucomicrobiota|c__Verrucomicrobiae|o__Pedosphaerales,LEfSe,PFU,3.484549157,5.77E-11,6.36E-09,***
k__Bacteria|p__Verrucomicrobiota|p__Bacteria_Verrucomicrobiota|c__Verrucomicrobiae|o__Pedosphaerales|f__Pedosphaeraceae,PFU - Water,k__Bacteria|p__Verrucomicrobiota|p__Bacteria_Verrucomicrobiota|c__Verrucomicrobiae|o__Pedosphaerales|f__Pedosphaeraceae,LEfSe,PFU,3.484549157,5.77E-11,6.36E-09,***
k__Bacteria|p__Firmicutes|p__Bacteria_Firmicutes|c__Clostridia|o__Oscillospirales|f__Oscillospiraceae,PFU - Water,k__Bacteria|p__Firmicutes|p__Bacteria_Firmicutes|c__Clostridia|o__Oscillospirales|f__Oscillospiraceae,LEfSe,Water,3.478317948,0.00256114,0.009780715,**
k__Bacteria|p__Planctomycetota|p__Bacteria_Planctomycetota|c__Phycisphaerae,PFU - Water,k__Bacteria|p__Planctomycetota|p__Bacteria_Planctomycetota|c__Phycisphaerae,LEfSe,Water,3.477496219,0.000879454,0.003946795,**
k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Comamonadaceae,PFU - Water,k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Comamonadaceae,LEfSe,PFU,3.473412228,0.00256114,0.009780715,**
k__Bacteria|p__Actinobacteriota|p__Bacteria_Actinobacteriota|c__Actinobacteria|o__Micrococcales,PFU - Water,k__Bacteria|p__Actinobacteriota|p__Bacteria_Actinobacteriota|c__Actinobacteria|o__Micrococcales,LEfSe,Water,3.471321896,0.000121069,0.000750426,***
k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__|f__|g__Acidibacter,PFU - Water,k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__|f__|g__Acidibacter,LEfSe,Water,3.457869732,9.44E-11,9.25E-09,***
k__Bacteria|p__Actinobacteriota|p__Bacteria_Actinobacteriota|c__Thermoleophilia,PFU - Water,k__Bacteria|p__Actinobacteriota|p__Bacteria_Actinobacteriota|c__Thermoleophilia,LEfSe,Water,3.452594912,1.55E-06,1.81E-05,***
k__Eukaryota|p__Cryptophyta,PFU - Water,k__Eukaryota|p__Cryptophyta,LEfSe,Water,3.447051622,1.38E-05,0.000115611,***
k__Eukaryota|p__Cryptophyta|p__Eukaryota_Cryptophyta,PFU - Water,k__Eukaryota|p__Cryptophyta|p__Eukaryota_Cryptophyta,LEfSe,Water,3.447051622,1.38E-05,0.000115611,***
